year,state,hs_higher_pct,bachelor_higher_pct
2010,TN,0.836,0.231
2010,TX,0.807,0.259
2010,UT,0.9059999999999999,0.293
2010,VT,0.91,0.336
2010,VA,0.865,0.342
2010,WA,0.898,0.311
2010,WV,0.8320000000000001,0.175
2010,WI,0.9009999999999999,0.263
2010,WY,0.9229999999999999,0.24100000000000002
2011,AL,0.8270000000000001,0.223
2011,AK,0.9179999999999999,0.264
2011,AZ,0.857,0.266
2011,AR,0.838,0.203
2011,CA,0.8109999999999999,0.303
2011,CO,0.902,0.36700000000000005
2011,CT,0.8909999999999999,0.36200000000000004
2011,DE,0.87,0.28800000000000003
2011,DC,0.872,0.525
2011,FL,0.8590000000000001,0.258
2011,GA,0.843,0.276
2011,HI,0.9059999999999999,0.29100000000000004
2011,ID,0.8859999999999999,0.252
2011,IL,0.872,0.31
2011,IN,0.873,0.23
2011,IA,0.9059999999999999,0.258
2011,KS,0.9,0.301
2011,KY,0.831,0.21100000000000002
2011,LA,0.825,0.21100000000000002
2011,ME,0.909,0.284
2011,MD,0.889,0.369
2011,MA,0.892,0.391
2011,MI,0.888,0.256
2011,MN,0.92,0.324
2011,MS,0.8109999999999999,0.198
2011,MO,0.8759999999999999,0.261
2011,MT,0.9229999999999999,0.282
2011,NE,0.91,0.27899999999999997
2011,NV,0.84,0.225
2011,NH,0.914,0.33399999999999996
2011,NJ,0.8809999999999999,0.353
2011,NM,0.8320000000000001,0.256
2011,NY,0.85,0.32899999999999996
2011,NC,0.847,0.26899999999999996
2011,ND,0.907,0.263
2011,OH,0.883,0.247
2011,OK,0.863,0.23800000000000002
2011,OR,0.894,0.293
2011,PA,0.8859999999999999,0.27
2011,RI,0.848,0.311
2011,SC,0.8420000000000001,0.24100000000000002
2011,SD,0.9059999999999999,0.263
2011,TN,0.8420000000000001,0.23600000000000002
2011,TX,0.8109999999999999,0.264
2011,UT,0.903,0.297
2011,VT,0.9179999999999999,0.354
2011,VA,0.878,0.35100000000000003
2011,WA,0.9009999999999999,0.319
2011,WV,0.8420000000000001,0.185
2011,WI,0.904,0.265
2011,WY,0.92,0.247
2012,AL,0.84,0.233
2012,AK,0.92,0.28
2012,AZ,0.857,0.273
2012,AR,0.848,0.21
2012,CA,0.815,0.309
2012,CO,0.9059999999999999,0.375
2012,CT,0.899,0.371
2012,DE,0.885,0.295
2012,DC,0.8859999999999999,0.53
2012,FL,0.865,0.268
2012,GA,0.85,0.282
2012,HI,0.904,0.301
2012,ID,0.898,0.255
2012,IL,0.8759999999999999,0.316
2012,IN,0.8759999999999999,0.23399999999999999
2012,IA,0.9159999999999999,0.263
2012,KS,0.902,0.304
2012,KY,0.838,0.218
2012,LA,0.83,0.22
2012,ME,0.9159999999999999,0.28
2012,MD,0.8909999999999999,0.369
2012,MA,0.897,0.39299999999999996
2012,MI,0.892,0.26
2012,MN,0.925,0.332
2012,MS,0.823,0.207
2012,MO,0.88,0.264
2012,MT,0.9279999999999999,0.294
2012,NE,0.905,0.29
2012,NV,0.8490000000000001,0.22399999999999998
2012,NH,0.9179999999999999,0.34600000000000003
2012,NJ,0.883,0.36200000000000004
2012,NM,0.8440000000000001,0.261
2012,NY,0.853,0.33399999999999996
2012,NC,0.852,0.27399999999999997
2012,ND,0.917,0.27899999999999997
2012,OH,0.888,0.252
2012,OK,0.867,0.23800000000000002
2012,OR,0.899,0.299
2012,PA,0.889,0.278
2012,RI,0.861,0.314
2012,SC,0.8490000000000001,0.251
2012,SD,0.905,0.263
2012,TN,0.851,0.243
2012,TX,0.8140000000000001,0.267
2012,UT,0.91,0.307
2012,VT,0.917,0.358
2012,VA,0.879,0.355
2012,WA,0.904,0.317
2012,WV,0.845,0.18600000000000003
2012,WI,0.907,0.271
2012,WY,0.917,0.247
2013,AL,0.845,0.235
2013,AK,0.9159999999999999,0.28
2013,AZ,0.8590000000000001,0.27399999999999997
2013,AR,0.8440000000000001,0.20600000000000002
2013,CA,0.8170000000000001,0.31
2013,CO,0.905,0.37799999999999995
2013,CT,0.897,0.37200000000000005
2013,DE,0.883,0.298
2013,DC,0.9009999999999999,0.551
2013,FL,0.868,0.272
2013,GA,0.855,0.28300000000000003
2013,HI,0.91,0.312
2013,ID,0.894,0.262
2013,IL,0.878,0.321
2013,IN,0.8759999999999999,0.23800000000000002
2013,IA,0.9159999999999999,0.264
2013,KS,0.9009999999999999,0.311
2013,KY,0.841,0.226
2013,LA,0.831,0.225
2013,ME,0.9179999999999999,0.282
2013,MD,0.8909999999999999,0.374
2013,MA,0.899,0.40299999999999997
2013,MI,0.894,0.26899999999999996
2013,MN,0.924,0.335
2013,MS,0.8240000000000001,0.204
2013,MO,0.887,0.27
2013,MT,0.927,0.29
2013,NE,0.902,0.294
2013,NV,0.852,0.225
2013,NH,0.9279999999999999,0.34600000000000003
2013,NJ,0.885,0.366
2013,NM,0.843,0.264
2013,NY,0.856,0.341
2013,NC,0.857,0.284
2013,ND,0.915,0.271
2013,OH,0.89,0.261
2013,OK,0.867,0.23800000000000002
2013,OR,0.897,0.307
2013,PA,0.892,0.287
2013,RI,0.8590000000000001,0.324
2013,SC,0.856,0.261
2013,SD,0.9159999999999999,0.266
2013,TN,0.856,0.248
2013,TX,0.8190000000000001,0.275
2013,UT,0.915,0.313
2013,VT,0.915,0.35700000000000004
2013,VA,0.884,0.361
2013,WA,0.9009999999999999,0.327
2013,WV,0.846,0.18899999999999997
2013,WI,0.909,0.27699999999999997
2013,WY,0.935,0.266
2014,AL,0.847,0.235
2014,AK,0.929,0.28
2014,AZ,0.861,0.276
2014,AR,0.853,0.214
2014,CA,0.821,0.317
2014,CO,0.905,0.38299999999999995
2014,CT,0.9009999999999999,0.38
2014,DE,0.89,0.306
2014,DC,0.902,0.55
2014,FL,0.872,0.273
2014,GA,0.856,0.29100000000000004
2014,HI,0.917,0.31
2014,ID,0.9009999999999999,0.25
2014,IL,0.882,0.32799999999999996
2014,IN,0.884,0.247
2014,IA,0.9209999999999999,0.27699999999999997
2014,KS,0.903,0.315
2014,KY,0.845,0.222
2014,LA,0.836,0.22899999999999998
2014,ME,0.917,0.294
2014,MD,0.8959999999999999,0.382
2014,MA,0.897,0.41200000000000003
2014,MI,0.899,0.27399999999999997
2014,MN,0.9259999999999999,0.34299999999999997
2014,MS,0.828,0.21100000000000002
2014,MO,0.889,0.275
2014,MT,0.9259999999999999,0.293
2014,NE,0.903,0.295
2014,NV,0.851,0.231
2014,NH,0.922,0.35
2014,NJ,0.8909999999999999,0.374
2014,NM,0.8420000000000001,0.264
2014,NY,0.857,0.345
2014,NC,0.8640000000000001,0.287
2014,ND,0.922,0.27399999999999997
2014,OH,0.894,0.266
2014,OK,0.873,0.242
2014,OR,0.897,0.308
2014,PA,0.894,0.29
2014,RI,0.858,0.304
2014,SC,0.861,0.263
2014,SD,0.917,0.278
2014,TN,0.858,0.253
2014,TX,0.8220000000000001,0.278
2014,UT,0.914,0.311
2014,VT,0.92,0.349
2014,VA,0.885,0.36700000000000005
2014,WA,0.904,0.331
2014,WV,0.852,0.192
2014,WI,0.914,0.284
2014,WY,0.9259999999999999,0.266
2015,AL,0.8490000000000001,0.242
2015,AK,0.9259999999999999,0.297
2015,AZ,0.861,0.27699999999999997
2015,AR,0.8540000000000001,0.218
2015,CA,0.8220000000000001,0.32299999999999995
2015,CO,0.912,0.392
2015,CT,0.902,0.38299999999999995
2015,DE,0.889,0.309
2015,DC,0.898,0.5670000000000001
2015,FL,0.8759999999999999,0.284
2015,GA,0.861,0.299
2015,HI,0.909,0.314
2015,ID,0.9,0.26
2015,IL,0.8859999999999999,0.32899999999999996
2015,IN,0.882,0.249
2015,IA,0.917,0.268
2015,KS,0.903,0.317
2015,KY,0.851,0.233
2015,LA,0.846,0.23199999999999998
2015,ME,0.917,0.301
2015,MD,0.8959999999999999,0.38799999999999996
2015,MA,0.902,0.415
2015,MI,0.9009999999999999,0.278
2015,MN,0.9279999999999999,0.34700000000000003
2015,MS,0.835,0.20800000000000002
2015,MO,0.889,0.278
2015,MT,0.935,0.306
2015,NE,0.91,0.302
2015,NV,0.856,0.23600000000000002
2015,NH,0.9309999999999999,0.35700000000000004
2015,NJ,0.8909999999999999,0.376
2015,NM,0.846,0.265
2015,NY,0.86,0.35
2015,NC,0.866,0.294
2015,ND,0.925,0.29100000000000004
2015,OH,0.897,0.268
2015,OK,0.873,0.24600000000000002
2015,OR,0.9,0.322
2015,PA,0.897,0.297
2015,RI,0.877,0.327
2015,SC,0.863,0.268
2015,SD,0.9109999999999999,0.275
2015,TN,0.861,0.257
2015,TX,0.8240000000000001,0.284
2015,UT,0.915,0.318
2015,VT,0.917,0.369
2015,VA,0.889,0.37
2015,WA,0.9079999999999999,0.342
2015,WV,0.86,0.196
2015,WI,0.914,0.284
2015,WY,0.922,0.262
2016,AL,0.851,0.247
2016,AK,0.9309999999999999,0.29600000000000004
2016,AZ,0.867,0.289
2016,AR,0.86,0.22399999999999998
2016,CA,0.8240000000000001,0.32899999999999996
2016,CO,0.914,0.39899999999999997
2016,CT,0.905,0.386
2016,DE,0.893,0.31
2016,DC,0.905,0.568
2016,FL,0.8740000000000001,0.28600000000000003
2016,GA,0.8640000000000001,0.305
2016,HI,0.92,0.319
2016,ID,0.904,0.276
2016,IL,0.888,0.34
2016,IN,0.884,0.256
2016,IA,0.9179999999999999,0.284
2016,KS,0.905,0.32799999999999996
2016,KY,0.857,0.23399999999999999
2016,LA,0.8440000000000001,0.23399999999999999
2016,ME,0.9229999999999999,0.301
2016,MD,0.9009999999999999,0.39299999999999996
2016,MA,0.904,0.42700000000000005
2016,MI,0.904,0.28300000000000003
2016,MN,0.929,0.348
2016,MS,0.841,0.218
2016,MO,0.8959999999999999,0.285
2016,MT,0.9279999999999999,0.31
2016,NE,0.909,0.314
2016,NV,0.86,0.235
2016,NH,0.9279999999999999,0.366
2016,NJ,0.893,0.386
2016,NM,0.8540000000000001,0.272
2016,NY,0.863,0.35700000000000004
2016,NC,0.873,0.304
2016,ND,0.924,0.29600000000000004
2016,OH,0.9,0.275
2016,OK,0.878,0.252
2016,OR,0.903,0.327
2016,PA,0.9009999999999999,0.308
2016,RI,0.885,0.341
2016,SC,0.866,0.272
2016,SD,0.912,0.289
2016,TN,0.87,0.261
2016,TX,0.8290000000000001,0.289
2016,UT,0.917,0.326
2016,VT,0.9209999999999999,0.364
2016,VA,0.893,0.381
2016,WA,0.9079999999999999,0.35100000000000003
2016,WV,0.86,0.20800000000000002
2016,WI,0.919,0.295
2016,WY,0.932,0.271
2017,AL,0.865,0.255
2017,AK,0.917,0.28800000000000003
2017,AZ,0.872,0.294
2017,AR,0.867,0.23399999999999999
2017,CA,0.833,0.336
2017,CO,0.9159999999999999,0.41200000000000003
2017,CT,0.904,0.387
2017,DE,0.9059999999999999,0.315
2017,DC,0.902,0.573
2017,FL,0.884,0.297
2017,GA,0.87,0.309
2017,HI,0.9229999999999999,0.32899999999999996
2017,ID,0.9079999999999999,0.268
2017,IL,0.8909999999999999,0.344
2017,IN,0.8859999999999999,0.268
2017,IA,0.9209999999999999,0.289
2017,KS,0.91,0.337
2017,KY,0.863,0.24
2017,LA,0.851,0.23800000000000002
2017,ME,0.9229999999999999,0.321
2017,MD,0.899,0.397
2017,MA,0.9079999999999999,0.434
2017,MI,0.909,0.29100000000000004
2017,MN,0.9309999999999999,0.361
2017,MS,0.8440000000000001,0.21899999999999997
2017,MO,0.897,0.29100000000000004
2017,MT,0.93,0.32299999999999995
2017,NE,0.9129999999999999,0.317
2017,NV,0.868,0.249
2017,NH,0.9309999999999999,0.369
2017,NJ,0.899,0.397
2017,NM,0.861,0.271
2017,NY,0.866,0.36
2017,NC,0.878,0.313
2017,ND,0.929,0.307
2017,OH,0.903,0.28
2017,OK,0.8809999999999999,0.255
2017,OR,0.91,0.337
2017,PA,0.9059999999999999,0.314
2017,RI,0.883,0.335
2017,SC,0.8740000000000001,0.28
2017,SD,0.917,0.281
2017,TN,0.878,0.273
2017,TX,0.836,0.29600000000000004
2017,UT,0.9209999999999999,0.34600000000000003
2017,VT,0.9259999999999999,0.38299999999999995
2017,VA,0.897,0.387
2017,WA,0.9129999999999999,0.355
2017,WV,0.871,0.20199999999999999
2017,WI,0.924,0.304
2017,WY,0.929,0.276
2018,AL,0.866,0.255
2018,AK,0.9329999999999999,0.302
2018,AZ,0.875,0.297
2018,AR,0.872,0.233
2018,CA,0.838,0.342
2018,CO,0.919,0.41700000000000004
2018,CT,0.909,0.396
2018,DE,0.898,0.313
2018,DC,0.9209999999999999,0.604
2018,FL,0.885,0.304
2018,GA,0.8759999999999999,0.319
2018,HI,0.92,0.335
2018,ID,0.909,0.27699999999999997
2018,IL,0.895,0.35100000000000003
2018,IN,0.89,0.271
2018,IA,0.9229999999999999,0.29
2018,KS,0.91,0.33799999999999997
2018,KY,0.868,0.248
2018,LA,0.858,0.243
2018,ME,0.93,0.315
2018,MD,0.905,0.408
2018,MA,0.9079999999999999,0.445
2018,MI,0.9109999999999999,0.29600000000000004
2018,MN,0.934,0.36700000000000005
2018,MS,0.8540000000000001,0.23199999999999998
2018,MO,0.905,0.295
2018,MT,0.9390000000000001,0.317
2018,NE,0.914,0.324
2018,NV,0.8690000000000001,0.249
2018,NH,0.9309999999999999,0.368
2018,NJ,0.902,0.408
2018,NM,0.8540000000000001,0.27699999999999997
2018,NY,0.871,0.37200000000000005
2018,NC,0.882,0.319
2018,ND,0.9229999999999999,0.297
2018,OH,0.907,0.29
2018,OK,0.884,0.256
2018,OR,0.905,0.34
2018,PA,0.91,0.318
2018,RI,0.8909999999999999,0.344
2018,SC,0.884,0.28300000000000003
2018,SD,0.9229999999999999,0.292
2018,TN,0.878,0.275
2018,TX,0.84,0.303
2018,UT,0.924,0.349
2018,VT,0.935,0.387
2018,VA,0.899,0.39299999999999996
2018,WA,0.9159999999999999,0.36700000000000005
2018,WV,0.878,0.213
2018,WI,0.9209999999999999,0.3
2018,WY,0.9329999999999999,0.26899999999999996
2019,AL,0.871,0.263
2019,AK,0.9359999999999999,0.302
2019,AZ,0.8759999999999999,0.302
2019,AR,0.875,0.233
2019,CA,0.84,0.35
2019,CO,0.924,0.42700000000000005
2019,CT,0.907,0.39799999999999996
2019,DE,0.903,0.332
2019,DC,0.919,0.597
2019,FL,0.884,0.307
2019,GA,0.879,0.325
2019,HI,0.924,0.336
2019,ID,0.915,0.287
