year,state,unemployment_pct,unemployment_pct_1,unemployment_pct_4
2010,AZ,0.10300000000000001,0.006000000000000019,0.06000000000000001
2011,AZ,0.094,-0.009000000000000008,0.056
2012,AZ,0.083,-0.010999999999999996,0.02500000000000001
2013,AZ,0.078,-0.0050000000000000044,-0.01899999999999999
2014,AZ,0.068,-0.009999999999999995,-0.035
2015,AZ,0.061,-0.007000000000000006,-0.033
2016,AZ,0.055,-0.005999999999999998,-0.028000000000000004
2017,AZ,0.05,-0.0049999999999999975,-0.027999999999999997
2018,AZ,0.048,-0.0020000000000000018,-0.020000000000000004
2019,AZ,0.048,0.0,-0.012999999999999998
2020,AZ,0.078,0.03,0.023
2021,AZ,0.051,-0.027000000000000003,0.000999999999999994
2022,AZ,0.038,-0.012999999999999998,-0.010000000000000002
2023,AZ,0.039,0.0010000000000000009,-0.009000000000000001
1976,AR,0.069,0.030000000000000006,-0.008999999999999994
1977,AR,0.065,-0.0040000000000000036,0.014000000000000005
1978,AR,0.062,-0.0030000000000000027,0.024
1979,AR,0.063,0.0010000000000000009,0.024
1980,AR,0.075,0.011999999999999997,0.0059999999999999915
1981,AR,0.086,0.010999999999999996,0.02099999999999999
1982,AR,0.095,0.009000000000000008,0.033
1983,AR,0.09699999999999999,0.001999999999999988,0.03399999999999999
1984,AR,0.085,-0.011999999999999983,0.010000000000000009
1985,AR,0.085,0.0,-0.000999999999999987
1986,AR,0.085,0.0,-0.009999999999999995
1987,AR,0.081,-0.0040000000000000036,-0.015999999999999986
1988,AR,0.077,-0.0040000000000000036,-0.008000000000000007
1989,AR,0.071,-0.006000000000000005,-0.014000000000000012
1990,AR,0.068,-0.002999999999999989,-0.017
1991,AR,0.073,0.0049999999999999906,-0.008000000000000007
1992,AR,0.07,-0.002999999999999989,-0.006999999999999992
1993,AR,0.061,-0.009000000000000008,-0.009999999999999995
1994,AR,0.054000000000000006,-0.006999999999999992,-0.013999999999999999
1995,AR,0.049,-0.0050000000000000044,-0.023999999999999994
1996,AR,0.052000000000000005,0.0030000000000000027,-0.018000000000000002
1997,AR,0.051,-0.0010000000000000078,-0.010000000000000002
1998,AR,0.051,0.0,-0.0030000000000000096
1999,AR,0.045,-0.005999999999999998,-0.0040000000000000036
2000,AR,0.042,-0.0029999999999999957,-0.010000000000000002
2001,AR,0.048,0.005999999999999998,-0.0029999999999999957
2002,AR,0.053,0.0049999999999999975,0.0020000000000000018
2003,AR,0.057999999999999996,0.0049999999999999975,0.012999999999999998
2004,AR,0.055999999999999994,-0.0020000000000000018,0.013999999999999992
2005,AR,0.053,-0.0029999999999999957,0.0049999999999999975
2006,AR,0.052000000000000005,-0.000999999999999994,-0.000999999999999994
2007,AR,0.054000000000000006,0.0020000000000000018,-0.00399999999999999
2008,AR,0.054000000000000006,0.0,-0.001999999999999988
2009,AR,0.077,0.022999999999999993,0.024
2010,AR,0.079,0.0020000000000000018,0.026999999999999996
2011,AR,0.079,0.0,0.024999999999999994
2012,AR,0.073,-0.006000000000000005,0.01899999999999999
2013,AR,0.071,-0.0020000000000000018,-0.006000000000000005
2014,AR,0.059000000000000004,-0.01199999999999999,-0.019999999999999997
2015,AR,0.05,-0.009000000000000001,-0.028999999999999998
2016,AR,0.04,-0.010000000000000002,-0.032999999999999995
2017,AR,0.037000000000000005,-0.0029999999999999957,-0.03399999999999999
2018,AR,0.037000000000000005,0.0,-0.022
2019,AR,0.035,-0.0020000000000000018,-0.015
2020,AR,0.062,0.026999999999999996,0.022
2021,AR,0.04,-0.022,0.0029999999999999957
2022,AR,0.032,-0.008,-0.0050000000000000044
2023,AR,0.033,0.0010000000000000009,-0.0020000000000000018
1976,CA,0.092,0.059,0.03
1977,CA,0.084,-0.007999999999999993,0.044000000000000004
1978,CA,0.071,-0.013000000000000012,0.03899999999999999
1979,CA,0.062,-0.008999999999999994,0.028999999999999998
1980,CA,0.069,0.007000000000000006,-0.022999999999999993
1981,CA,0.07400000000000001,0.0050000000000000044,-0.009999999999999995
1982,CA,0.10099999999999999,0.026999999999999982,0.03
1983,CA,0.098,-0.002999999999999989,0.036000000000000004
1984,CA,0.077,-0.021000000000000005,0.007999999999999993
1985,CA,0.07200000000000001,-0.0049999999999999906,-0.0020000000000000018
1986,CA,0.068,-0.0040000000000000036,-0.03299999999999999
1987,CA,0.057999999999999996,-0.010000000000000009,-0.04000000000000001
1988,CA,0.053,-0.0049999999999999975,-0.024
1989,CA,0.051,-0.0020000000000000018,-0.02100000000000001
1990,CA,0.057999999999999996,0.006999999999999999,-0.010000000000000009
1991,CA,0.078,0.020000000000000004,0.020000000000000004
1992,CA,0.094,0.016,0.041
1993,CA,0.095,0.0010000000000000009,0.044000000000000004
1994,CA,0.087,-0.008000000000000007,0.028999999999999998
1995,CA,0.079,-0.007999999999999993,0.0010000000000000009
1996,CA,0.073,-0.006000000000000005,-0.021000000000000005
1997,CA,0.064,-0.008999999999999994,-0.031
1998,CA,0.059000000000000004,-0.0049999999999999975,-0.02799999999999999
1999,CA,0.053,-0.006000000000000005,-0.026000000000000002
2000,CA,0.049,-0.003999999999999997,-0.023999999999999994
2001,CA,0.055,0.005999999999999998,-0.009000000000000001
2002,CA,0.068,0.013000000000000005,0.009000000000000001
2003,CA,0.069,0.0010000000000000009,0.016000000000000007
2004,CA,0.062,-0.007000000000000006,0.012999999999999998
